lifted_rel_path	target_rel_path	action	conflict_rel_path	final_decision
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/高估值，你是否师出有名？.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/高估值，你是否师出有名？.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/成长股选股模型/行业内选股策略——有色金属行业.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/成长股选股模型/行业内选股策略——有色金属行业.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/成长股选股模型/行业内选股策略——钢铁行业.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/成长股选股模型/行业内选股策略——钢铁行业.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/财务指标选股研究系列/A股上市公司毛利率的均值回归及选股实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/财务指标选股研究系列/A股上市公司毛利率的均值回归及选股实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/财务指标选股研究系列/上市公司估值指标的稳定性与选股识别度.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/财务指标选股研究系列/上市公司估值指标的稳定性与选股识别度.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/财务指标选股研究系列/上市公司动量反转以及市值因子的选股识别度.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/财务指标选股研究系列/上市公司动量反转以及市值因子的选股识别度.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/A股市场特征研究（二）——波段划分新方法及应用展望.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/A股市场特征研究（二）——波段划分新方法及应用展望.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/如何捕捉短线反弹机会？.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/如何捕捉短线反弹机会？.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/工欲善其事，必先利其器——选股因子深度解析.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/工欲善其事，必先利其器——选股因子深度解析.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/现金流量市值比因子的极值效应.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/现金流量市值比因子的极值效应.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/行业内股票业绩弹性分析——在钢铁行业上的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/选股因子研究系列/行业内股票业绩弹性分析——在钢铁行业上的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/S_BUCKET__staging/03_券商研报/representatives_v1/03_券商研报/04_多因子/海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	10_source_library_archive/mirror_kimi_inbox/S_BUCKET__staging/03_券商研报/representatives_v1/03_券商研报/04_多因子/海通选股因子系列研究3：从Spearman相关系数出发研究因子有效性，Kalman+Filter模型在因子选择中的应用.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/S_BUCKET__staging/03_券商研报/representatives_v1/03_券商研报/04_多因子/海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	10_source_library_archive/mirror_kimi_inbox/S_BUCKET__staging/03_券商研报/representatives_v1/03_券商研报/04_多因子/海通选股因子系列研究4：多因子选股模型的有效与失效.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/S_BUCKET__staging/03_券商研报/representatives_v2/03_券商研报/04_多因子/海通选股因子系列研究21：分析师一致预期相关因子.pdf	10_source_library_archive/mirror_kimi_inbox/S_BUCKET__staging/03_券商研报/representatives_v2/03_券商研报/04_多因子/海通选股因子系列研究21：分析师一致预期相关因子.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/S_BUCKET__staging/03_券商研报/representatives_v45/03_券商研报/04_多因子/海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	10_source_library_archive/mirror_kimi_inbox/S_BUCKET__staging/03_券商研报/representatives_v45/03_券商研报/04_多因子/海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/S_BUCKET__staging/03_券商研报/representatives_v48/03_券商研报/04_多因子/海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	10_source_library_archive/mirror_kimi_inbox/S_BUCKET__staging/03_券商研报/representatives_v48/03_券商研报/04_多因子/海通选股因子系列研究1：弱者终有逆袭日,强势几无持续时：A股市场的动量反转效应研究.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/S_BUCKET__staging/03_券商研报/representatives_v48/03_券商研报/04_多因子/海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	10_source_library_archive/mirror_kimi_inbox/S_BUCKET__staging/03_券商研报/representatives_v48/03_券商研报/04_多因子/海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/S_BUCKET__staging/03_券商研报/representatives_v48/03_券商研报/04_多因子/海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	10_source_library_archive/mirror_kimi_inbox/S_BUCKET__staging/03_券商研报/representatives_v48/03_券商研报/04_多因子/海通选股因子系列研究5：寻找股价驱动新因子净换手率.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
